iter	RMSE
696	153.891789
697	153.6286156
698	153.600172
699	153.5731075
700	153.532301
701	153.5042684
702	153.4633501
703	153.4250717
704	153.38092
705	153.3407884
706	153.2883673
707	153.1229042
708	153.0406693
709	153.0121908
710	152.9929044
711	152.9437525
712	152.8689064
713	152.7411238
714	152.6603334
715	152.5510678
716	152.501004
717	152.4872634
718	152.4710601
719	152.4201383
720	152.3911496
721	152.3362127
722	152.323423
723	152.2799134
724	152.227391
725	152.1822139
726	151.9942253
727	151.8878302
728	151.8704244
729	151.8267048
730	151.7761929
731	151.7426319
732	151.6768605
733	151.6496359
734	151.6274996
735	151.5938422
736	151.4993707
737	151.4752487
738	151.4344689
739	151.4122154
740	151.2990463
741	151.1336382
742	150.9397205
743	150.8150583
744	150.7604158
745	150.7152596
746	150.610825
747	150.5494476
748	150.5188276
749	150.4110688
750	150.3520062
751	150.2717007
752	150.2031534
753	150.1571244
754	150.1091527
755	150.0688829
756	150.0418473
757	150.0098906
758	149.9645329
759	149.9255099
760	149.7767385
761	149.7463948
762	149.6590912
763	149.6205079
764	149.5099544
765	149.4718808
766	149.445531
767	149.4223152
768	149.3568438
769	149.2972761
770	149.244337
771	149.0701821
772	149.0436788
773	149.0230805
774	148.9411952
775	148.9204808
776	148.8706063
777	148.8267585
778	148.801503
779	148.7719535
780	148.7495764
781	148.6777843
782	148.6237784
783	148.6086665
784	148.5648811
785	148.4828916
786	148.3893485
787	148.3622797
788	148.3509905
789	148.2399857
790	148.2148102
791	148.1945347
792	148.1606233
793	148.1148184
794	148.0798233
795	148.0656306
796	148.0070095
797	147.8939761
798	147.806057
799	147.7674427
800	147.6621195
801	147.5070297
802	147.4812161
803	147.4625772
804	147.4188532
805	147.3013138
806	147.2761358
807	147.1657799
808	147.0750864
809	146.9976403
810	146.9434774
811	146.9299547
812	146.892154
813	146.8238672
814	146.7725282
815	146.717392
816	146.6677506
817	146.6414782
818	146.548641
819	146.5224852
820	146.4579749
821	146.4299962
822	146.3275822
823	146.3184182
824	146.2263142
825	146.1869221
826	146.123021
827	146.0685277
828	146.0166215
829	145.9855129
830	145.9399734
831	145.922014
832	145.8520678
833	145.7676553
834	145.7432302
835	145.7101106
836	145.6767781
837	145.6411753
838	145.6066317
839	145.5398827
840	145.466381
841	145.4236368
842	145.3475055
843	145.3130021
844	145.2432326
845	145.2039035
846	145.1842211
847	145.1359466
848	145.1166072
849	145.0769062
850	145.0261291
851	144.9961987
852	144.941748
853	144.9159257
854	144.8608539
855	144.8117262
856	144.7712109
857	144.7510619
858	144.722143
859	144.6932442
860	144.6762924
861	144.6322067
862	144.5575152
863	144.5275895
864	144.5040673
865	144.4640799
866	144.4158816
867	144.3512107
868	144.3167711
869	144.3046799
870	144.2743225
871	144.23647
872	144.1684174
873	144.0345145
874	144.0057036
875	143.9957927
876	143.9597303
877	143.9364138
878	143.8576104
879	143.8422309
880	143.7948405
881	143.7639644
882	143.6890764
883	143.6754403
884	143.6403966
885	143.5801188
886	143.5395241
887	143.4116245
888	143.3949324
889	143.3512985
890	143.2836867
891	143.255808
892	143.1800925
893	143.1437478
894	143.0983101
895	143.059813
896	142.9808672
897	142.9396356
898	142.8913947
899	142.8555019
900	142.7580916
901	142.7199264
902	142.6869997
903	142.6756388
904	142.654495
905	142.6270578
906	142.5985328
907	142.5665596
908	142.5157611
909	142.488563
910	142.4643178
911	142.4433239
912	142.4032575
913	142.3774424
914	142.3325141
915	142.2998925
916	142.267
917	142.2526888
918	142.1692285
919	142.1495216
920	142.1044903
921	142.0823576
922	142.0584682
923	142.0309685
924	141.9907219
925	141.9685478
926	141.9229709
927	141.8999757
928	141.8766357
929	141.8342012
930	141.8047265
931	141.7812012
932	141.7461939
933	141.7243043
934	141.6288233
935	141.5916339
936	141.569113
937	141.4525796
938	141.4426605
939	141.4170249
940	141.3603336
941	141.2889254
942	141.2580065
943	141.2120779
944	141.1765771
945	141.1561203
946	141.1257638
947	141.0746514
948	141.0486953
949	141.0157504
950	140.9463763
951	140.841968
952	140.8192757
953	140.7992377
954	140.7756369
955	140.7672047
956	140.7332113
957	140.7141088
958	140.6059346
959	140.562563
960	140.5231884
961	140.5058753
962	140.4966222
963	140.4432244
964	140.4166882
965	140.3828348
966	140.3606718
967	140.3302727
968	140.2719426
969	140.2518655
970	140.1841363
971	140.134186
972	140.1241079
973	140.0905886
974	140.0218839
975	140.0034993
976	139.9726288
977	139.9612002
978	139.9104975
979	139.8675554
980	139.8500425
981	139.8354602
982	139.8142405
983	139.8016051
984	139.7330533
985	139.7206836
